Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
36,4.073000,262144.000000,86217.603510,48969.000000
36,4.639000,32768.000000,43723.214017,24784.000000
36,5.649000,4096.000000,44194.237136,13746.000000
36,7.918000,512.000000,44016.108267,9002.000000
36,16.772000,64.000000,26919.382980,1583.000000
36,30.000000,6.000000,31859.819005,1872.000000
36,30.000000,9.000000,27393.709187,1519.000000
36,30.000000,12.000000,25112.968423,1283.000000
36,30.000000,15.000000,24337.633081,1369.000000
36,30.000000,18.000000,28995.853738,1676.000000
