Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
30,4.073000,262144.000000,116171.158878,65273.000000
30,4.639000,32768.000000,719663.114511,292842.000000
30,5.649000,4096.000000,358690.956737,98060.000000
30,7.918000,512.000000,625860.529770,74328.000000
30,16.772000,64.000000,334883.703809,12502.000000
30,30.000000,6.000000,697895.969393,19747.000000
30,30.000000,9.000000,414807.445120,15868.000000
30,30.000000,12.000000,660449.283278,22606.000000
30,30.000000,15.000000,825822.452260,30514.000000
30,30.000000,18.000000,475289.143256,19813.000000
