Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
24,4.073000,262144.000000,585321.257163,253654.000000
24,4.639000,32768.000000,992679.897621,338276.000000
24,5.649000,4096.000000,1707416.840449,295627.000000
24,7.918000,512.000000,3391346.802897,264610.000000
24,16.772000,64.000000,6330824.325734,158429.000000
24,30.000000,6.000000,6873746.388331,144101.000000
24,30.000000,9.000000,6573170.191226,158989.000000
24,30.000000,12.000000,6329763.007512,171417.000000
24,30.000000,15.000000,6608403.542933,195879.000000
24,30.000000,18.000000,6205766.229176,170556.000000
