Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
36,4.073000,262144.000000,91374.402127,51457.000000
36,4.639000,32768.000000,107079.785917,47434.000000
36,5.649000,4096.000000,111308.105289,30957.000000
36,7.918000,512.000000,47292.486232,8958.000000
36,16.772000,64.000000,29116.531713,2188.000000
36,30.000000,6.000000,22389.674339,946.000000
36,30.000000,9.000000,23953.087442,1101.000000
36,30.000000,12.000000,30347.744694,1840.000000
36,30.000000,15.000000,26850.016015,1387.000000
36,30.000000,18.000000,31101.286951,1726.000000
