Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
40,4.073000,262144.000000,65009.781564,34633.000000
40,4.639000,32768.000000,87927.576630,54284.000000
40,5.649000,4096.000000,75826.266003,22670.000000
40,7.918000,512.000000,28828.800287,4414.000000
40,16.772000,64.000000,17346.996195,1103.000000
40,30.000000,6.000000,17503.323941,922.000000
40,30.000000,9.000000,16728.039873,1065.000000
40,30.000000,12.000000,16070.452265,955.000000
40,30.000000,15.000000,19563.348665,1152.000000
40,30.000000,18.000000,22324.291814,1702.000000
