Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
22,4.073000,262144.000000,809963.425950,272288.000000
22,4.639000,32768.000000,1222335.791206,242000.000000
22,5.649000,4096.000000,1936310.956637,283060.000000
22,7.918000,512.000000,4843551.615439,290852.000000
22,16.772000,64.000000,8355324.853866,191939.000000
22,30.000000,6.000000,8742322.102661,179243.000000
22,30.000000,9.000000,8052583.963506,189533.000000
22,30.000000,12.000000,8077922.191724,196745.000000
22,30.000000,15.000000,8194279.974544,205647.000000
22,30.000000,18.000000,7693773.689373,209851.000000
