Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
22,4.073000,262144.000000,946785.500910,369340.000000
22,4.639000,32768.000000,979192.153222,261424.000000
22,5.649000,4096.000000,2149648.146295,274204.000000
22,7.918000,512.000000,4366787.201737,278744.000000
22,16.772000,64.000000,8358930.947202,192234.000000
22,30.000000,6.000000,8358238.031832,168220.000000
22,30.000000,9.000000,8382974.256112,184819.000000
22,30.000000,12.000000,8371093.936524,191039.000000
22,30.000000,15.000000,8049440.203946,216719.000000
22,30.000000,18.000000,8204619.459631,223280.000000
