Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
20,4.073000,262144.000000,667142.346460,228493.000000
20,4.639000,32768.000000,1305205.718687,230134.000000
20,5.649000,4096.000000,2829681.200641,269506.000000
20,7.918000,512.000000,5380397.583200,288489.000000
20,16.772000,64.000000,9903208.757391,214425.000000
20,30.000000,6.000000,10878891.359136,195854.000000
20,30.000000,9.000000,10107171.376452,219619.000000
20,30.000000,12.000000,9837100.976630,218292.000000
20,30.000000,15.000000,9972093.627164,229157.000000
20,30.000000,18.000000,9930599.035284,239428.000000
