Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
38,4.073000,262144.000000,74333.505326,46283.000000
38,4.639000,32768.000000,96366.347337,58325.000000
38,5.649000,4096.000000,63669.614574,28431.000000
38,7.918000,512.000000,32532.192010,5687.000000
38,16.772000,64.000000,21647.317547,1402.000000
38,30.000000,6.000000,19150.990888,941.000000
38,30.000000,9.000000,23292.667172,1736.000000
38,30.000000,12.000000,25372.854333,1917.000000
38,30.000000,15.000000,21101.587831,1191.000000
38,30.000000,18.000000,23794.973482,1656.000000
