Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
26,4.073000,262144.000000,454624.004155,212003.000000
26,4.639000,32768.000000,867023.953460,266865.000000
26,5.649000,4096.000000,1416441.407938,262658.000000
26,7.918000,512.000000,2422258.217307,224297.000000
26,16.772000,64.000000,4456583.168469,122480.000000
26,30.000000,6.000000,4932163.515281,109979.000000
26,30.000000,9.000000,4723039.395215,125700.000000
26,30.000000,12.000000,4529793.103312,130129.000000
26,30.000000,15.000000,4140954.097862,130871.000000
26,30.000000,18.000000,4817401.719526,157525.000000
