Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
26,4.073000,262144.000000,222434.900679,128028.000000
26,4.639000,32768.000000,800901.620488,282568.000000
26,5.649000,4096.000000,1241099.635030,274147.000000
26,7.918000,512.000000,2695844.566877,240433.000000
26,16.772000,64.000000,4631981.798394,124918.000000
26,30.000000,6.000000,4656074.028638,107821.000000
26,30.000000,9.000000,4812968.936559,123064.000000
26,30.000000,12.000000,4565271.968561,134732.000000
26,30.000000,15.000000,4509717.077380,163639.000000
26,30.000000,18.000000,4391875.472309,143501.000000
