Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
26,4.073000,262144.000000,404398.806544,219356.000000
26,4.639000,32768.000000,648425.064484,256713.000000
26,5.649000,4096.000000,886587.224938,194626.000000
26,7.918000,512.000000,2708025.330674,240159.000000
26,16.772000,64.000000,4627178.463670,124465.000000
26,30.000000,6.000000,4827203.484339,107026.000000
26,30.000000,9.000000,4449196.020566,112475.000000
26,30.000000,12.000000,4204984.916945,124016.000000
26,30.000000,15.000000,4555469.498154,139818.000000
26,30.000000,18.000000,5154269.261338,155577.000000
