Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
22,4.073000,262144.000000,484065.435537,216497.000000
22,4.639000,32768.000000,1202318.032004,288873.000000
22,5.649000,4096.000000,2223256.069508,300318.000000
22,7.918000,512.000000,4220533.005454,273395.000000
22,16.772000,64.000000,8402492.925046,193605.000000
22,30.000000,6.000000,9191174.529316,184916.000000
22,30.000000,9.000000,8858094.459381,195132.000000
22,30.000000,12.000000,8423931.992350,197927.000000
22,30.000000,15.000000,8253414.240416,214078.000000
22,30.000000,18.000000,7485124.648500,218469.000000
