Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
38,4.073000,262144.000000,52339.286248,42924.000000
38,4.639000,32768.000000,90663.559923,63229.000000
38,5.649000,4096.000000,95017.823407,37249.000000
38,7.918000,512.000000,35156.523577,5943.000000
38,16.772000,64.000000,21259.414903,1790.000000
38,30.000000,6.000000,21092.990921,1246.000000
38,30.000000,9.000000,18158.499222,906.000000
38,30.000000,12.000000,20354.388004,1562.000000
38,30.000000,15.000000,19093.739759,1184.000000
38,30.000000,18.000000,22875.555381,1716.000000
