Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
24,4.073000,262144.000000,700110.368766,334108.000000
24,4.639000,32768.000000,543155.444348,194720.000000
24,5.649000,4096.000000,1910615.735976,263492.000000
24,7.918000,512.000000,3405392.390316,267845.000000
24,16.772000,64.000000,6502437.334814,161595.000000
24,30.000000,6.000000,6861412.171043,144136.000000
24,30.000000,9.000000,6722229.427498,158152.000000
24,30.000000,12.000000,6362767.544743,164690.000000
24,30.000000,15.000000,5999528.122241,169557.000000
24,30.000000,18.000000,6598520.994797,187764.000000
