Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
30,4.073000,262144.000000,556222.208345,270667.000000
30,4.639000,32768.000000,399310.879045,245146.000000
30,5.649000,4096.000000,660684.780879,183055.000000
30,7.918000,512.000000,155287.813807,21227.000000
30,16.772000,64.000000,613853.680142,23089.000000
30,30.000000,6.000000,697364.881064,16594.000000
30,30.000000,9.000000,1287906.967008,32562.000000
30,30.000000,12.000000,620567.868815,17327.000000
30,30.000000,15.000000,279539.000410,12716.000000
30,30.000000,18.000000,713576.731749,29850.000000
