Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
22,4.073000,262144.000000,598085.340113,191695.000000
22,4.639000,32768.000000,1398559.817192,273903.000000
22,5.649000,4096.000000,2108815.519326,240680.000000
22,7.918000,512.000000,4589421.424671,287468.000000
22,16.772000,64.000000,7866336.848634,185059.000000
22,30.000000,6.000000,8713051.800509,184360.000000
22,30.000000,9.000000,8980236.134464,199545.000000
22,30.000000,12.000000,8326763.023439,195643.000000
22,30.000000,15.000000,8864193.139357,221218.000000
22,30.000000,18.000000,8118509.841808,224081.000000
