Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
20,4.073000,262144.000000,858074.087159,224513.000000
20,4.639000,32768.000000,1764052.222176,268528.000000
20,5.649000,4096.000000,2373316.608328,259474.000000
20,7.918000,512.000000,5331461.290285,283565.000000
20,16.772000,64.000000,9926688.741572,215088.000000
20,30.000000,6.000000,10762951.604440,209591.000000
20,30.000000,9.000000,10794797.933455,214893.000000
20,30.000000,12.000000,10019426.523363,224661.000000
20,30.000000,15.000000,9664898.259467,235314.000000
20,30.000000,18.000000,9682441.358220,236025.000000
