Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
38,4.073000,262144.000000,83359.924622,47655.000000
38,4.639000,32768.000000,163741.488096,121148.000000
38,5.649000,4096.000000,48244.020417,18090.000000
38,7.918000,512.000000,35474.979972,5735.000000
38,16.772000,64.000000,19229.576698,1112.000000
38,30.000000,6.000000,19982.713504,777.000000
38,30.000000,9.000000,20504.497921,1279.000000
38,30.000000,12.000000,20387.599295,1369.000000
38,30.000000,15.000000,19725.561564,1510.000000
38,30.000000,18.000000,20666.200667,1202.000000
