Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
20,4.073000,262144.000000,857227.023800,208653.000000
20,4.639000,32768.000000,1888366.774068,295880.000000
20,5.649000,4096.000000,3004311.199632,293609.000000
20,7.918000,512.000000,4813744.666595,271771.000000
20,16.772000,64.000000,10049507.761766,216359.000000
20,30.000000,6.000000,10798500.765496,202170.000000
20,30.000000,9.000000,10185003.575505,214751.000000
20,30.000000,12.000000,9562047.370343,223787.000000
20,30.000000,15.000000,10161700.413881,238738.000000
20,30.000000,18.000000,9875360.315642,243464.000000
