Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
32,4.073000,262144.000000,78047.757988,40905.000000
32,4.639000,32768.000000,282088.605339,214956.000000
32,5.649000,4096.000000,326771.688504,94818.000000
32,7.918000,512.000000,93737.015597,14657.000000
32,16.772000,64.000000,93731.396453,4554.000000
32,30.000000,6.000000,95300.392591,3453.000000
32,30.000000,9.000000,65597.634721,3374.000000
32,30.000000,12.000000,54460.405709,2504.000000
32,30.000000,15.000000,103135.830064,4404.000000
32,30.000000,18.000000,109008.213392,6572.000000
