Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
22,4.073000,262144.000000,633891.973685,243257.000000
22,4.639000,32768.000000,1178841.260136,271649.000000
22,5.649000,4096.000000,2231068.484510,283237.000000
22,7.918000,512.000000,3820169.259343,269249.000000
22,16.772000,64.000000,8214182.320756,191624.000000
22,30.000000,6.000000,9012374.288576,185754.000000
22,30.000000,9.000000,8372317.472667,193322.000000
22,30.000000,12.000000,8089792.168239,197055.000000
22,30.000000,15.000000,7764735.800798,200800.000000
22,30.000000,18.000000,8122028.969325,212214.000000
