Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
34,4.073000,262144.000000,113574.152988,92839.000000
34,4.639000,32768.000000,214181.669178,153842.000000
34,5.649000,4096.000000,66761.210003,24778.000000
34,7.918000,512.000000,96281.334982,18233.000000
34,16.772000,64.000000,30763.658983,1503.000000
34,30.000000,6.000000,36462.467141,1521.000000
34,30.000000,9.000000,40406.359933,2501.000000
34,30.000000,12.000000,41792.807037,2627.000000
34,30.000000,15.000000,43787.119887,2691.000000
34,30.000000,18.000000,45947.281127,2520.000000
