Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
24,4.073000,262144.000000,662294.626766,262408.000000
24,4.639000,32768.000000,602284.705566,192464.000000
24,5.649000,4096.000000,1483605.019502,270025.000000
24,7.918000,512.000000,3017139.076260,235155.000000
24,16.772000,64.000000,6543547.156563,163042.000000
24,30.000000,6.000000,6950222.509147,149575.000000
24,30.000000,9.000000,6704364.424412,161393.000000
24,30.000000,12.000000,6068561.369744,159179.000000
24,30.000000,15.000000,6503238.458287,177802.000000
24,30.000000,18.000000,6612773.998094,194690.000000
