Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
26,4.073000,262144.000000,143521.730950,96292.000000
26,4.639000,32768.000000,650910.562581,242359.000000
26,5.649000,4096.000000,1139464.288348,245058.000000
26,7.918000,512.000000,3340912.323242,257213.000000
26,16.772000,64.000000,4681725.290699,125582.000000
26,30.000000,6.000000,4907546.833543,116432.000000
26,30.000000,9.000000,4773957.380814,121528.000000
26,30.000000,12.000000,4372491.809289,131308.000000
26,30.000000,15.000000,4384131.169907,128291.000000
26,30.000000,18.000000,4512649.939437,142343.000000
