Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
34,4.073000,262144.000000,45453.001276,20358.000000
34,4.639000,32768.000000,180479.309532,123984.000000
34,5.649000,4096.000000,77629.560607,23803.000000
34,7.918000,512.000000,82983.983190,15042.000000
34,16.772000,64.000000,34281.498800,1972.000000
34,30.000000,6.000000,35277.145619,1572.000000
34,30.000000,9.000000,40945.482706,2272.000000
34,30.000000,12.000000,37897.637446,2443.000000
34,30.000000,15.000000,40836.345870,2873.000000
34,30.000000,18.000000,37819.931610,3052.000000
