Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
40,4.073000,262144.000000,109314.368776,74502.000000
40,4.639000,32768.000000,76914.821231,48624.000000
40,5.649000,4096.000000,55522.710272,17786.000000
40,7.918000,512.000000,38159.838443,9426.000000
40,16.772000,64.000000,16396.926846,935.000000
40,30.000000,6.000000,17600.851201,1152.000000
40,30.000000,9.000000,17778.057374,922.000000
40,30.000000,12.000000,16704.792576,1014.000000
40,30.000000,15.000000,19234.310775,2105.000000
40,30.000000,18.000000,20574.385750,1728.000000
