Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
28,4.073000,262144.000000,188009.529402,136855.000000
28,4.639000,32768.000000,291272.273670,118539.000000
28,5.649000,4096.000000,653660.230102,230217.000000
28,7.918000,512.000000,1460534.631527,167266.000000
28,16.772000,64.000000,2163188.463475,65201.000000
28,30.000000,6.000000,2688036.458853,61910.000000
28,30.000000,9.000000,2588895.725000,69496.000000
28,30.000000,12.000000,2666747.468468,80693.000000
28,30.000000,15.000000,2231109.692687,73567.000000
28,30.000000,18.000000,2483471.028138,84578.000000
