batch,SRPT,FCFS,BAL,SJF,RR,RMLF,MLFQ,SETF
1,2873.1857,1849.6759,2873.1857,2741.8747,3102.3133,5090.6337,16014.3065,7913.1606
2,3209.3086,1761.5567,3209.3086,3048.0604,3552.9386,5098.8488,49245.5255,5620.7242
3,1450.8122,2274.3280,1450.8122,1476.1612,2978.9394,3577.0742,84810.5753,3291.6005
4,1555.6137,1247.0265,1555.6137,1532.0721,1953.3561,2848.4554,120275.5995,3448.7417
5,2710.9884,1902.9246,2710.9884,2663.6391,3179.0681,4767.2006,151553.1650,6627.1394
6,1225.9996,1373.1427,1225.9996,1166.3636,2082.5821,2555.9795,183124.5964,2692.9928
7,22817.1776,2304.0393,22817.1776,22777.2132,4229.3953,13309.6337,214462.0817,99239.5027
8,22374.3787,6695.5061,22374.3787,22298.7977,13628.0343,31838.2643,242440.8413,47519.6793
9,8990.1810,9369.2660,8990.1810,8845.8054,16556.2411,23721.0578,269172.8570,57186.6620
10,22194.8575,7899.5083,22194.8575,22091.4106,12882.4001,27638.0694,301808.2998,41359.3098
11,17404.9714,6090.7646,17404.9714,13604.9075,9915.2554,25484.3557,334133.4376,45893.8819
12,13698.3828,5631.1173,13698.3828,13530.5104,10384.0598,26082.7289,364060.1372,35652.6002
13,4198.5723,6453.6504,4198.5723,4090.2775,10949.3366,16549.2984,392211.8766,23934.6092
14,13447.5423,5602.0302,13447.5423,13898.8333,10755.9212,24385.7646,424446.8067,26745.0702
15,4293.3458,7166.9391,4293.3458,4368.4361,11481.4226,14183.7241,454873.8346,11432.7995
16,4026.8972,4212.7506,4026.8972,3749.2851,7104.8163,12387.4838,488188.7403,6521.6944
17,1178.7409,2548.9253,1178.7409,1134.6444,3735.8275,4524.8898,521837.7438,2772.7741
18,761.5274,742.9011,761.5274,721.0153,1038.8816,1239.1977,555888.8057,1355.8543
19,2655.5691,1900.1913,2655.5691,2574.1997,3158.9611,7855.1400,589011.0197,10364.1589
20,4977.7013,2914.2975,4977.7013,4712.4533,4961.1843,10631.6119,618211.3122,11244.1826
21,1921.5002,1877.4477,1921.5002,1788.1801,2898.5467,4086.4328,649572.3738,3935.7101
22,1810.4320,1247.9147,1810.4320,1261.4301,1899.0250,2766.8753,682847.2777,5023.4119
23,2053.2055,1695.7117,2053.2055,2096.8944,2758.7938,3917.7114,714197.5505,5599.4635
24,3162.5302,2121.4837,3162.5302,3008.7251,3638.5808,5744.7124,745765.8398,8050.6713
25,6183.2727,1907.2202,6183.2727,6158.4273,3187.8599,13179.8043,777016.4442,21180.1052
26,8696.0616,4397.5596,8696.0616,8615.5173,7925.1811,15454.0145,804736.4096,24357.6716
27,4552.5208,4375.5856,4552.5208,4398.5178,7242.7699,11156.1492,835569.3310,9159.8073
28,5203.8906,2679.6963,5203.8906,4785.6841,4402.2106,6834.8687,867363.9375,91729.4051
29,40004.0248,4540.8431,37040.5952,38888.6333,9025.2336,102225.3057,897751.0079,132231.1960
30,48273.3283,7733.2598,41503.9830,48234.0493,14737.8018,65525.9045,924694.8837,115195.7289
31,2589.6511,8142.5457,2589.6511,2538.9970,12894.1218,24259.1099,953359.7429,54810.9022
32,33931.2876,6295.9852,30063.3376,33830.2323,11607.7761,41491.6891,983619.5985,32215.0917
33,7343.0872,5898.4495,7343.0872,7359.2998,9131.2731,20516.5240,1013876.9471,53973.0844
34,24683.0793,6669.4638,25915.9298,24607.5098,12774.4864,45342.8532,1044178.1629,77299.1180
35,19092.2503,8360.1722,19220.5386,18519.5416,14350.7001,36787.8478,1072487.6788,48687.5193
36,13280.1055,9056.2031,13280.1055,13367.9240,18504.4393,41994.1946,1101604.9122,57863.0060
37,23027.2877,12548.5744,23012.2582,21826.4366,22423.7014,50520.2601,1129697.1226,40474.9178
38,10708.4045,11465.7783,17707.2775,10616.5414,20447.8159,35360.9920,1160350.4136,39658.7992
39,4393.4515,11257.1161,4861.0177,4347.5552,17388.9334,19037.4467,1189196.5163,29264.8889
40,3203.6170,4472.2523,3148.4101,3272.9769,7814.9086,19308.6081,1224814.8207,16000.2689
41,10470.8875,6224.3786,11754.9630,10426.4411,10562.4278,23665.4574,1252731.5948,18098.8023
42,7414.8042,5983.9870,7424.7734,7186.0908,10412.1213,17603.5961,1282974.6401,11320.6359
43,3262.0095,4334.2299,3263.7480,3326.6609,7185.0399,11590.4173,1314202.0494,5561.7467
44,2061.2508,1779.5322,2061.2508,2013.6360,2839.9570,4317.2211,1345061.3496,3917.2801
45,2569.9990,1107.6647,2569.9990,2496.9716,1806.9217,23992.2969,1376888.5814,24542.7348
46,3111.7113,2342.4321,3111.7113,3016.1880,3914.6094,30259.5329,1409119.8791,27777.3032
47,18524.2765,3033.1767,18520.5830,18412.9622,6415.6527,24314.9465,1440373.5665,47049.9026
48,14495.8954,6541.5767,14491.7350,14184.2958,11643.3942,24689.7902,1468641.9359,31499.8682
