frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,170388.026950,109742.000000,43.852024
4,118651.809089,78247.000000,54.571055
8,70290.583423,57278.000000,126.917296
16,524247.217871,436185.000000,98.640762
32,161791.060087,97157.000000,159.201131
64,314413.753360,278684.000000,5626.618700
128,284877.804028,186030.000000,235.667138
256,128721.162266,84907.000000,9393.377508
512,235629.109895,202930.000000,6058.198082
1024,285529.089551,272642.000000,948.178781
2048,444799.085082,317114.000000,7729.194072
4096,342514.348491,183816.000000,137520.304901
8192,204243.924847,78180.000000,114963.380230
16384,226050.237531,137652.000000,96575.320616
32768,1370156.590555,115982.000000,921996.600940
65536,1138601.449872,114942.000000,1124671.581278
