frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,226704.921427,199853.000000,88.425110
4,268866.896865,162453.000000,12.206556
8,239693.952494,179719.000000,1085.325758
16,143431.407418,121668.000000,225.973450
32,197263.840113,95194.000000,84.356387
64,225464.670603,164878.000000,387.600310
128,507730.408226,308659.000000,13005.530362
256,430106.502297,248888.000000,5563.559113
512,388681.251241,227960.000000,2608.164105
1024,183161.460848,82266.000000,35676.015613
2048,533191.913356,302753.000000,199572.346489
4096,240212.835215,132002.000000,11198.573257
8192,93244.366956,64367.000000,40072.750779
16384,989654.712975,188392.000000,525124.976195
32768,540967.878419,209359.000000,389544.218686
65536,466029.740825,107954.000000,447513.733254
