frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2315889.188258,248377.000000,52762.576112
4,2235658.301185,274748.000000,14234.747557
8,2896902.607599,261642.000000,86706.282391
16,3798263.391598,284108.000000,144752.309650
32,3959565.222168,300918.000000,81082.797411
64,4556108.188860,305193.000000,160121.979828
128,4423392.699800,302449.000000,198813.091513
256,4175207.477956,306766.000000,411430.808010
512,4442155.405292,297957.000000,608884.011609
1024,4355364.372694,303886.000000,654815.928066
2048,6672210.511910,302962.000000,1696676.674729
4096,6918590.176539,301412.000000,2328396.264091
8192,3474537.259692,261165.000000,1505636.577557
16384,4736373.160665,293306.000000,1593968.719357
32768,8728685.823049,305780.000000,5739281.579218
65536,5824456.031538,187118.000000,5192647.902082
