frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1753517.334177,263124.000000,28586.337436
4,3543176.728321,289848.000000,99294.520780
8,2658946.647233,304575.000000,74640.526130
16,3543817.629552,304442.000000,72665.140969
32,4965131.467114,266230.000000,179384.403054
64,6592269.758970,305501.000000,263802.040646
128,4903385.306843,277571.000000,411563.659070
256,6630773.685972,296668.000000,137018.094407
512,4989240.716331,305227.000000,586956.372794
1024,8582001.845852,278807.000000,1562481.017705
2048,8662925.472566,297975.000000,962174.632848
4096,4092735.741205,233620.000000,1040411.737825
8192,9701058.976482,226631.000000,5533319.092489
16384,10566599.641292,282014.000000,3190865.728851
32768,4033821.494534,215140.000000,2814194.813975
65536,8724950.932937,215751.000000,5263431.036939
