frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,4003650.072895,308804.000000,0.000000
4,3770977.307671,302781.000000,0.000000
8,4256677.524084,305195.000000,0.000000
16,3945451.564134,307749.000000,0.000000
32,3562601.198429,301746.000000,0.000000
64,4073530.928712,299388.000000,0.000000
128,4758999.452589,306449.000000,0.000000
256,3426710.891950,257670.000000,0.000000
512,3786148.317108,294159.000000,0.000000
1024,4494001.299142,296441.000000,0.000000
2048,3902964.547898,293889.000000,0.000000
4096,3575982.834478,205170.000000,0.000000
8192,1944972.734176,133281.000000,0.000000
16384,3880041.787001,239040.000000,0.000000
32768,4403798.027847,210560.000000,0.000000
65536,8253016.636764,245454.000000,0.000000
