frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,3095255.601878,301775.000000,26262.579729
4,2809101.878712,304990.000000,35552.311064
8,2552891.944897,270215.000000,75477.920096
16,3861275.259955,300071.000000,60217.610564
32,4183399.765480,292607.000000,70664.081067
64,2850646.069178,270536.000000,191328.542711
128,3932977.268428,281288.000000,115099.865938
256,5714813.322808,309051.000000,370511.719248
512,4984941.936520,303361.000000,604603.402535
1024,5193212.078216,296957.000000,711361.412016
2048,5850088.611039,259261.000000,1789744.999457
4096,5625755.745558,282546.000000,1967349.780598
8192,6251887.289508,284746.000000,2468376.923979
16384,1583582.082737,182181.000000,452803.972507
32768,3503373.755378,188408.000000,2741935.643617
65536,4816344.583121,206694.000000,4074421.484614
