frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1821399.216260,172156.000000,0.000000
4,1435437.098686,298122.000000,0.000000
8,3366413.512248,195497.000000,0.000000
16,4391493.505403,208005.000000,0.000000
32,6752185.430068,279470.000000,0.000000
64,4090785.852850,302642.000000,0.000000
128,5366598.987139,290328.000000,0.000000
256,7522524.162346,288861.000000,0.000000
512,3993259.266016,174684.000000,0.000000
1024,5310116.179759,293993.000000,0.000000
2048,6009236.163176,264823.000000,0.000000
4096,6662129.071237,283945.000000,0.000000
8192,8435146.903173,305220.000000,0.000000
16384,1896470.968085,112385.000000,0.000000
32768,4206136.445861,125150.000000,0.000000
65536,9524106.671297,220562.000000,0.000000
