arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time
34,16.772000,64,10789.886839
34,4.639000,32768,2989.403787
34,4.073000,262144,43709.125809
34,5.649000,4096,6541.161212
34,7.918000,512,7075.946580
