arrival_rate,bp_parameter_L,bp_parameter_H,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
32,8.500000,262144,33237504.856803,19576985.664538,6661847.033768,6657951.898413,6658490.293941,6658078.599394
32,9.800000,32768,40649896.313386,23152477.175590,11462478.987276,11466884.843828,11463851.689432,11460381.681035
32,12.400000,4096,46307265.514990,29535951.326252,24702334.022552,23372351.761784,23370615.904152,23372312.939983
32,18.900000,512,97483342.068962,94735916.539913,90837335.148340,85977190.939175,79632505.336965,53976602.937942
32,60.000000,24,129441410.211165,129441410.211165,129441410.211165,129441410.211165,129441410.211165,129441410.211165
32,60.000000,18,131662980.178305,131662980.178305,131662980.178305,131662980.178305,131662980.178305,131662980.178305
32,56.300000,64,130206544.240915,130206544.240915,130206544.240915,130206544.240915,130206544.240915,130206544.240915
32,60.000000,12,132962796.652085,132962796.652085,132962796.652085,132962796.652085,132962796.652085,132962796.652085
