arrival_rate,Rdynamic_sqrt_6/Dynamic_ratio,Rdynamic_sqrt_8/Dynamic_ratio,Rdynamic_sqrt_10/Dynamic_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_8/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_6_L2,Rdynamic_sqrt_8_L2,Rdynamic_sqrt_10_L2,Dynamic_L2
20,1.7857423295213524,1.7620725151956969,1.7360425940030693,1.013432939973544,1.028628177494011,1.014993826351119,259749.5532717683,256306.6020713212,252520.35570771695,145457.465490775
22,1.7407565022965583,1.6986347167504752,1.6996205506949384,1.024797435923518,1.0242030208359156,0.999419968213458,230948.60294725513,225360.24667072948,225491.0386407215,132671.40041847754
24,1.8611948021678149,1.882614810900327,1.6881174269861654,0.988622203220494,1.1025268576787626,1.1152155536131168,160005.23675413014,161846.69556571136,145125.93107346326,85969.09714542779
26,1.6673849334728883,1.648874395791241,1.5859218248593436,1.011226166000816,1.0513664086946846,1.039694624252668,127630.58127068514,126213.68548584626,121394.95823263354,76545.36076732542
28,1.6266414203178892,1.5439995652810634,1.572116747891799,1.0535245325809286,1.0346823303671355,0.9821150797811672,84288.67215444004,80006.3686679885,81463.3338954691,51817.61087699819
30,1.880536622860503,1.7924130652088863,1.744998167915429,1.0491647597097529,1.077672548566047,1.0271718894410642,145579.00582854674,138757.04886315527,135086.49359423178,77413.54465466621
32,1.7271629954136087,1.556564792866736,1.5004595021377185,1.1095991656297717,1.1510893782557303,1.0373920726611308,132915.89024206976,119787.30190071031,115469.65227277136,76956.1938247988
34,1.5189920059903947,1.5155599709116447,1.4774364934216877,1.0022645326774404,1.02812676737967,1.0258038011513204,84119.60918934799,83929.5479853324,81818.32421671016,55378.572670302725
36,0.964819116577239,0.9493529306854772,0.9427089062886284,1.0162912920915452,1.0234539104713212,1.0070478006015728,54123.843981139886,53256.23116355948,52883.51866887172,56097.40007344369
38,1.6754397493726525,1.6002763285927248,1.415423963041934,1.0469690261843876,1.1837016986570652,1.1305985841539086,15560.758856453374,14862.673553164772,13145.844830760476,9287.566958035888
40,1.180548904830037,1.1828923191825584,1.184619003414173,0.9980189115150051,0.9965642129896569,0.9985424138675489,16226.24427587015,16258.453711301432,16282.186400404646,13744.660817932176
