arrival_rate,Rdynamic_sqrt_6/Dynamic_ratio,Rdynamic_sqrt_8/Dynamic_ratio,Rdynamic_sqrt_10/Dynamic_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_8/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_6_L2,Rdynamic_sqrt_8_L2,Rdynamic_sqrt_10_L2,Dynamic_L2
20,1.786077552667018,1.761447375247602,1.7332515445625547,1.0139829198223729,1.0304779812660116,1.0162675929950855,259798.3139809107,256215.67079889425,252114.3767300403,145457.465490775
22,1.7431158196841816,1.698704443977392,1.7012349452349818,1.026144262978911,1.0246179250940646,0.9985125503889528,231261.61688910276,225369.49747957184,225705.22262517695,132671.40041847754
24,1.8622484301028757,1.8830742444439148,1.6880203582194828,0.9889405240380263,1.1032144375718125,1.1155518565132556,160095.81619643452,161886.19265265195,145117.58615923053,85969.09714542779
26,1.6672354193601833,1.6488097164529742,1.5857283850487498,1.011175154248149,1.0514003754236434,1.0397806660957798,127619.13665898833,126208.73458256444,121380.15131254488,76545.36076732542
28,1.6358552968494793,1.5439806885136824,1.572299372193456,1.0595050242657118,1.0404222794844464,0.981989000198946,84766.11322322268,80005.39051900174,81472.79705046905,51817.61087699819
30,1.8808128511271396,1.7792279434992182,1.7651460002909518,1.057094937160291,1.0655282060617774,1.0079777781588295,145600.3896378009,137736.34185490667,136646.20871552906,77413.54465466621
32,1.726529901208483,1.556427905051778,1.5073603996542846,1.109289993840766,1.1453995352435058,1.0325519400726908,132867.16972171073,119776.76753549016,116000.71907962133,76956.1938247988
34,1.497826967647455,1.5146213383950644,1.4736164117994976,0.9889118353730542,1.016429347321392,1.02782605179152,82947.51957540376,83877.56785630225,81606.77354898922,55378.572670302725
36,0.9640240775624844,0.9540470752289456,0.9417179401217196,1.0104575576956147,1.0236866438350765,1.0130921739747596,54079.24435945521,53519.560468016985,52827.9280433474,56097.40007344369
38,1.6760070523160606,1.6005951009517223,1.4973582644836485,1.0471149457595477,1.119309314323662,1.0689459823455645,15566.027720525772,14865.634172793334,13906.815141560292,9287.566958035888
40,1.1882644896465235,1.1822274575871088,1.1849143049546793,1.0051064894667021,1.0028273645425965,0.997732454274258,16332.292372184746,16249.315414181108,16286.245219917919,13744.660817932176
