arrival_rate,Rdynamic_sqrt_6/Dynamic_ratio,Rdynamic_sqrt_8/Dynamic_ratio,Rdynamic_sqrt_10/Dynamic_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_8/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_6_L2,Rdynamic_sqrt_8_L2,Rdynamic_sqrt_10_L2,Dynamic_L2,Rdynamic_sqrt_6_checkpoint,Rdynamic_sqrt_8_checkpoint,Rdynamic_sqrt_10_checkpoint,Dynamic_checkpoint,Rdynamic_sqrt_6/RR_ratio,Rdynamic_sqrt_6/SRPT_ratio,Rdynamic_sqrt_6/SETF_ratio,Rdynamic_sqrt_6/FCFS_ratio,Rdynamic_sqrt_6/RMLF_ratio,Rdynamic_sqrt_8/RR_ratio,Rdynamic_sqrt_8/SRPT_ratio,Rdynamic_sqrt_8/SETF_ratio,Rdynamic_sqrt_8/FCFS_ratio,Rdynamic_sqrt_8/RMLF_ratio,Rdynamic_sqrt_10/RR_ratio,Rdynamic_sqrt_10/SRPT_ratio,Rdynamic_sqrt_10/SETF_ratio,Rdynamic_sqrt_10/FCFS_ratio,Rdynamic_sqrt_10/RMLF_ratio,Dynamic/SRPT_ratio
20,1.7195924063557573,1.7232100591498856,1.732776579489951,0.9979006315713402,0.9923913023235376,0.9944790803076982,,,,,60,80,100,100,0.2588794529715688,1.7195924063557573,0.7681418791863674,0.5138147979332358,1.0410868649299367,0.2594240796941127,1.7232100591498856,0.7697578845869812,0.5148957538228625,1.0432770879106403,0.2608642904925112,1.732776579489951,0.7740312489517761,0.5177542333656234,1.049068913131731,1.0
22,1.6447248734365416,1.6423585859545136,1.6473203803865142,1.0014407861366357,0.9984244067026212,0.9969879602710698,,,,,60,80,100,100,0.2385989092387737,1.5848800195696562,0.707965859826726,0.47356269078286,0.9595284119453774,0.2382556338245839,1.5825998316723404,0.706947299957615,0.4728813698608911,0.9581479256971868,0.2389754373360786,1.5873810865700415,0.7090830863849187,0.4743100104562145,0.9610426242626612,0.963614064070276
24,1.642856009579679,1.6495545370383524,1.6553217905699824,0.9959391900611542,0.9924692702885212,0.9965159320897696,,,,,60,80,100,100,0.1892612953572024,1.25715765611202,0.5615722893577566,0.3756391367267887,0.7611165983792777,0.1900329831840246,1.2622835496962683,0.563862025876574,0.377170755479281,0.7642199503491197,0.1906973858265477,1.2666968073949043,0.5658334279654842,0.3784894383859225,0.7668918536470284,0.765226927242188
26,1.6309312279390045,1.6300531702629604,1.639393739147277,1.000538668119582,0.9948380239559323,0.994302424938395,,,,,60,80,100,100,0.1735524447501619,1.1528124873225507,0.5149613054166123,0.3444607646784426,0.6979432648357592,0.1734590079125451,1.1521918383116097,0.514684061521014,0.3442753145421397,0.6975675074582351,0.1744529667855253,1.1587941549906178,0.5176333161944192,0.3462480890192642,0.7015647251402963,0.7068431013975686
28,1.732291554931304,1.7338825330828025,1.7320148714857686,0.9990824187214864,1.0001597465761354,1.001078317298414,,,,,60,80,100,100,0.1341731121495996,0.8912374548895156,0.398115745841736,0.2663020557092695,0.5395788004120219,0.134296339956917,0.8920559887641915,0.3984813849003566,0.2665466339103965,0.5400743625360901,0.1341516818777369,0.8910951054974013,0.3980521583723127,0.2662595216623206,0.539492618313396,0.5144846734098745
30,1.6648345107269162,1.6733031677710797,1.6626826034625388,0.9949389583386472,1.0012942381545915,1.0063876077649596,,,,,60,80,100,100,0.1064711729343612,0.7072288602750779,0.3159191118422168,0.2113202248344966,0.4281751153415053,0.1070127690166512,0.7108263822094286,0.3175261247883385,0.2123951656163509,0.4303531505656123,0.106333551994257,0.7063147208142502,0.3155107657709715,0.2110470796515964,0.4276216710590903,0.4248043007988108
32,1.6644854901937944,1.6654785077717766,1.6531746585657794,0.9994037643996314,1.006841885441087,1.0074425585598266,,,,,60,80,100,100,0.0751968532041707,0.4994909262495302,0.2231225826002373,0.1492480592446225,0.3024050586336974,0.0752417149932825,0.4997889181952278,0.2232556955939355,0.1493370993397046,0.3025854708635805,0.0746858610984661,0.4960966895320494,0.2216063771547304,0.1482338601549522,0.3003500976731981,0.300087281740963
34,1.6778483278715388,1.6919132597757085,1.692723736890205,0.9916869663247192,0.9912121460256744,0.999521199415573,,,,,60,80,100,100,0.074049736409834,0.4918712665735605,0.2197188808389206,0.1469713023327765,0.2977919145103759,0.0746704745795631,0.4959944854337246,0.2215607225869051,0.1482033215354895,0.3002882206005182,0.0747062439728376,0.4962320816444274,0.2216668568074926,0.1482743153643415,0.3004320676500896,0.2931559774521047
36,1.537406393742252,1.533176804447068,1.5367610403312268,1.0027587094214547,1.0004199438911374,0.9976676686940306,,,,,60,80,100,100,0.0134004265748433,0.0890115902035652,0.0397614748213699,0.0265966935333738,0.0538899782558625,0.0133635603948777,0.0887667086481062,0.0396520862374863,0.0265235228410221,0.0537417204652897,0.0133948015097762,0.0889742260208791,0.0397447842420229,0.0265855291028344,0.0538673569883635,0.0578972421123468
38,1.721959825792147,2.1321741721758736,2.1352309713788267,0.8076074873540444,0.8064513155128086,0.9985683988084064,,,,,60,80,100,100,0.0259114415640732,0.1721153132852329,0.0768839055668155,0.0514281143543103,0.1042031770158247,0.0320842017561855,0.2131175304591745,0.0951995948164243,0.063679590840352,0.1290270071135973,0.0321301993879154,0.2134230671764578,0.095336078059376,0.063770885315759,0.1292119871483671,0.0999531526271557
40,1.3309971438754435,1.3239999957638322,1.3234151087955182,1.005284855086102,1.0057291435087408,1.000441952766314,,,,,60,80,100,100,0.027032706793507295,0.17956325537531956,0.08021090108738474,0.05365356199288553,0.10871235875685173,0.026890593901558343,0.17861927837353134,0.07978922658743798,0.0533715013425624,0.10814085003552609,0.026878714779206708,0.1785403719622439,0.07975397909575206,0.05334792407993816,0.10809307800068428,0.13490882095545903
