arrival_rate,Rdynamic_sqrt_6/Dynamic_ratio,Rdynamic_sqrt_8/Dynamic_ratio,Rdynamic_sqrt_10/Dynamic_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_8/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_6_L2,Rdynamic_sqrt_8_L2,Rdynamic_sqrt_10_L2,Dynamic_L2
20,1.786067838498259,1.7638102144122436,1.7356912889365956,1.0126190583908328,1.0290239110392303,1.016200418619878,259796.9009825436,256559.3633951454,252469.25576313364,145457.465490775
22,1.7431193088336587,1.698525747303235,1.7004349761290771,1.0262542746856946,1.02510200819425,0.9988772115060884,231262.07979945015,225345.78954156127,225599.0896036051,132671.40041847754
24,1.8619739262122703,1.8826936292236165,1.6879565738678877,0.9889946496393628,1.10309350076799,1.1153685221353156,160072.21734479629,161853.47150580309,145112.10267611188,85969.09714542779
26,1.667325980413317,1.6487481776711026,1.5820362498101532,1.0112678230634686,1.0539113630382355,1.0421683939726127,127626.0686874719,126204.02407430488,121097.53548870471,76545.36076732542
28,1.6542065895355254,1.5429727323305105,1.5719900033176075,1.0720906175943932,1.052300959958017,0.981541058832526,85717.03336671811,79953.16063772107,81456.76629444287,51817.61087699819
30,1.8807986295669048,1.7724743801209364,1.7730353443348266,1.0611147053299452,1.0607789831017198,0.9996836136314584,145599.2886964126,137213.52457474393,137256.95080296558,77413.54465466621
32,1.7275657102566886,1.5564577301410767,1.5311383117351534,1.1099342287310965,1.1282884746701525,1.01653633653594,132946.88164358994,119779.06276084308,117830.57669046566,76956.1938247988
34,1.5017553534375558,1.5104001292358022,1.4713899070799443,0.9942764995639796,1.020637253396602,1.0265124981272136,83165.06797335784,83643.8033181195,81483.47289557668,55378.572670302725
36,0.9640459850802752,0.959289198949399,0.941724775348522,1.0049586570307325,1.023702476897767,1.0186513342970898,54080.473314245326,53813.629979597754,52828.31148179992,56097.40007344369
38,1.7185398786167148,1.6252057491537295,1.4151296104843432,1.057429115982137,1.214404578834674,1.1484501045791031,15961.054192707606,15094.20721585014,13143.11101167258,9287.566958035888
40,1.1858699468674871,1.1824322473835438,1.184571629212551,1.0029073120185537,1.001096022919103,0.9981939616176444,16299.380193872863,16252.130180472079,16281.535258071832,13744.660817932176
