arrival_rate,bp_parameter,Rdynamic_sqrt_2_L2,Rdynamic_sqrt_6_L2,Rdynamic_sqrt_8_L2,Rdynamic_sqrt_10_L2,Dynamic_L2,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,Rdynamic_sqrt_2_status,Rdynamic_sqrt_6_status,Rdynamic_sqrt_8_status,Rdynamic_sqrt_10_status,Dynamic_status,RMLF/FCFS_ratio,Rdynamic_sqrt_2/RR_ratio,Rdynamic_sqrt_2/SRPT_ratio,Rdynamic_sqrt_2/SETF_ratio,Rdynamic_sqrt_2/FCFS_ratio,Rdynamic_sqrt_2/RMLF_ratio,Rdynamic_sqrt_2/Dynamic_ratio,Rdynamic_sqrt_6/RR_ratio,Rdynamic_sqrt_6/SRPT_ratio,Rdynamic_sqrt_6/SETF_ratio,Rdynamic_sqrt_6/FCFS_ratio,Rdynamic_sqrt_6/RMLF_ratio,Rdynamic_sqrt_6/Dynamic_ratio,Rdynamic_sqrt_8/RR_ratio,Rdynamic_sqrt_8/SRPT_ratio,Rdynamic_sqrt_8/SETF_ratio,Rdynamic_sqrt_8/FCFS_ratio,Rdynamic_sqrt_8/RMLF_ratio,Rdynamic_sqrt_8/Dynamic_ratio,Rdynamic_sqrt_10/RR_ratio,Rdynamic_sqrt_10/SRPT_ratio,Rdynamic_sqrt_10/SETF_ratio,Rdynamic_sqrt_10/FCFS_ratio,Rdynamic_sqrt_10/RMLF_ratio,Rdynamic_sqrt_10/Dynamic_ratio,Dynamic/SRPT_ratio,Rdynamic_sqrt_2/Rdynamic_sqrt_6_ratio,Rdynamic_sqrt_2/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_2/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_8/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_2_checkpoint,Rdynamic_sqrt_6_checkpoint,Rdynamic_sqrt_8_checkpoint,Rdynamic_sqrt_10_checkpoint,Dynamic_checkpoint
20.0,,14137107.424397858,14357602.449586982,14220504.893618502,14194860.923354417,8289552.938714066,32874971.594460003,8289552.938714066,19668644.623010784,21353956.48248256,13861889.055130906,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.6491485110266253,0.43002645291350466,1.705412526937901,0.7187636817566241,0.6620369127376957,1.0198543191459954,1.705412526937901,0.43673353171829005,1.7320116724912593,0.7299741657231279,0.672362635063205,1.0357608831296041,1.7320116724912593,0.43256326025282105,1.7154730778309606,0.7230038045926976,0.6659423936395164,1.0258706325711686,1.7154730778309606,0.4317832148559634,1.7123795490901859,0.7217000050297078,0.6647414934557437,1.024020670407852,1.7123795490901859,1.0,0.9846426291601724,0.9941354072978049,0.9959313797247891,1.0096408360317786,1.011464820057857,1.0018065672078473,80,30,60,100,100
22.0,,13442590.619913483,13426939.486865759,13387736.069104468,13348203.63193846,7856352.8835269995,30366561.440009102,7856352.883527,18085848.15071483,17752049.579582915,13445626.69511496,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.7574126376133559,0.4426774050947486,1.711047202080187,0.7432657018842754,0.7572416108714652,0.999774196080977,1.7110472020801872,0.44216199826876856,1.709055039396082,0.7424003217861291,0.7563599587006801,0.9986101645781976,1.709055039396082,0.4408709921125813,1.704065011791353,0.7402326922984438,0.7541515704475074,0.9956944642802313,1.7040650117913532,0.43956915103175603,1.6990331047790166,0.7380468707192415,0.7519246480299699,0.9927542936163848,1.6990331047790168,0.9999999999999999,1.001165651566616,1.004097373187361,1.007071137853275,1.0029283082336649,1.0058986105620165,1.00296162976353,80,30,60,100,100
24.0,,11627953.328546753,11784687.382911319,11626384.588438854,11574332.24694336,6570303.390875645,30791349.090837803,6570303.390875645,14648998.006508876,16944687.133088943,11147258.772711525,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.6578615872430941,0.3776370205229734,1.7697741849630264,0.7937712411033297,0.6862300399657499,1.0431222209546231,1.7697741849630264,0.3827272182243532,1.7936291038366703,0.8044705431508093,0.6954797861034937,1.0571825435469586,1.7936291038366703,0.3775860730927951,1.7695354227606481,0.7936641525429242,0.6861374599083208,1.0429814921763751,1.7695354227606481,0.3758955871922932,1.7616130577800932,0.7901108486601355,0.6830655624405979,1.038311972740537,1.7616130577800932,1.0,0.9867001941356678,1.000134929314953,1.004632758111601,1.0136158229816241,1.0181742783497088,1.0044972219895658,80,30,60,100,100
26.0,,11539386.702088833,11902675.330621243,11853589.369066693,11867024.98068962,6705939.600797192,30311943.681754857,6647560.827891761,15068393.800350953,15362475.735814394,11160440.40775466,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.7264740787669028,0.3806877850935879,1.7358828299354558,0.7658007120719179,0.7511410856250968,1.0339544211956786,1.7207710461211203,0.392672784549465,1.790532744082631,0.7899100254696039,0.7747888774771274,1.0665058811075998,1.7749452036827575,0.3910534241392616,1.783148688061873,0.7866524810886356,0.7715936918573959,1.0621076710225887,1.767625429799212,0.3914966689461268,1.7851698221245438,0.7875441230115203,0.7724682651914064,1.0633115313660921,1.769628968814286,1.0087819840114114,0.9694784056154333,0.9734930359745877,0.9723908663600245,1.004141020920013,1.0030041522613826,0.9988678197235794,80,30,60,100,100
28.0,,10234899.68526874,10309553.11629463,10382209.240817925,10412819.506929126,5952600.170934883,30961547.00301745,5952600.170934883,13479439.09807259,15126663.31414648,9932137.549887788,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.6565980443683993,0.33056809739743515,1.7193998238355226,0.759297149592242,0.6766131745457074,1.0304830791821216,1.7193998238355226,0.33297926344862167,1.7319411383673478,0.7648354683963653,0.6815483958483507,1.0379994300835178,1.7319411383673478,0.33532592023925983,1.7441469177640654,0.7702256128967907,0.6863515783489718,1.0453146856524578,1.7441469177640654,0.3363145745241448,1.7492892530851345,0.7724964986427397,0.6883751750586687,1.048396627073169,1.7492892530851345,1.0,0.9927588101847112,0.9858113478420341,0.982913386567203,0.9930018628176318,0.9900827637926713,0.9970603287523776,80,30,60,100,100
30.0,,9467267.424053133,9365235.273780504,9393568.45951979,9501819.856127942,5530454.242098926,31540013.20704489,5530454.242098926,12994338.973342238,14557629.613307346,9402812.107297637,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.6459026886288126,0.30016688204615244,1.7118426461223377,0.7285686054115674,0.650330285598073,1.0068548978773564,1.7118426461223377,0.29693187546569105,1.6933935014759651,0.7207165591872887,0.6433214419207096,0.9960036600659107,1.6933935014759651,0.29783020057270015,1.6985166223805028,0.7228969845092241,0.6452677193361885,0.9990169273114932,1.6985166223805028,0.3012623930672794,1.7180903123288112,0.7312276427158653,0.6527037786043263,1.010529589201667,1.7180903123288112,1.0,1.0108947770440198,1.0078456834429788,0.9963635984897645,0.996983767578702,0.985625429189825,0.9886072985757209,80,30,60,100,100
32.0,,8613880.5860317,8196286.449641096,8123855.403939706,8094920.360023775,4777564.872500739,30218887.41394759,4768380.81052856,10266810.275898498,11883563.958425056,8497638.797992652,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.7150749411306114,0.2850495608271781,1.8064581937357638,0.8390026069005018,0.7248566689393497,1.0136793044282497,1.8029855828044263,0.2712305829584607,1.7188825253938904,0.7983284223028851,0.6897161893785406,0.9645369313152328,1.7155782639013928,0.26883370299695825,1.7036926635562069,0.7912735490019318,0.6836211285066682,0.9560132640444493,1.700417602008909,0.2678761878005988,1.6976245567783164,0.7884552399908208,0.6811862492047045,0.9526081953419803,1.694361160141949,1.001926033665747,1.050949187654232,1.0603192890230855,1.0641093677179054,1.0089158462454002,1.0125221849146178,1.003574469250967,80,30,60,100,100
34.0,,7636963.9004197335,7722852.498803008,7488842.419879115,7491189.793513735,4364630.913235161,31979622.13378027,4364630.913235161,8950946.45612915,12394979.614309778,7409948.803607148,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.5978185551069803,0.23880719629744349,1.7497387642244064,0.8532018304265837,0.6161336394295476,1.0306365270299944,1.7497387642244064,0.2414929252914878,1.769417082985067,0.8627973071512224,0.6230629447657272,1.0422275110785568,1.769417082985067,0.2341754504962898,1.7158019930551742,0.8366536942862772,0.6041835204983623,1.010646985338625,1.7158019930551742,0.23424885266548365,1.716339810268424,0.8369159429374254,0.6043729014983851,1.0109637720934102,1.716339810268424,1.0,0.9888786431701775,1.0197789554427572,1.0194594064393105,1.0312478305462423,1.0309246877565241,0.99968664875683,80,30,60,100,100
36.0,,6066378.4515302805,6129108.138719231,6044831.88852019,6050359.63719792,3532351.1560137956,29087200.653033733,3526058.1961945836,7084022.394163008,8198357.353968843,6117373.817377765,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.7461706721549934,0.2085583457787152,1.7204419535892173,0.8563465943485398,0.7399504790546283,0.9916638467143171,1.7173769491185287,0.2107149536949331,1.7382322689211223,0.8652016887706914,0.7476019736748992,1.0019181958944756,1.7351355706197218,0.20781758824528637,1.7143312878511008,0.85330502251107,0.7373223229399574,0.9881416550593158,1.7112771696633045,0.20800762883199214,1.7158989728892253,0.8540853346515688,0.7379965737000873,0.9890452697218738,1.7128420618367,1.0017847010653436,0.9897652830119492,1.003564460254223,1.002647580522962,1.0139418683188015,1.0130155075472145,0.9990863768421722,80,30,60,100,100
38.0,,5870870.924035159,6877817.019155019,5738869.139013041,5784190.688207335,3371363.6296206615,35866737.18080729,3440653.637953114,7850851.6934700785,14051645.984300235,5986891.144101252,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.4260633345581255,0.1636856704985345,1.7063243039853933,0.7478005130218213,0.4178066349376169,0.9806209571422716,1.7413935632614441,0.19176032055782924,1.998985583229678,0.876059985297598,0.48946700100753576,1.1488127733759743,2.0400697684245044,0.16000533056806673,1.6679589818948362,0.7309868232240748,0.4084125906263951,0.9585724879376534,1.7022397372361657,0.1612689400501845,1.681131347951786,0.7367596426535885,0.41163794580862295,0.9661426187623884,1.715682828570515,0.9798613822768646,0.8535951025862608,1.0230013582510125,1.0149857154613775,1.1984620754635036,1.1890716246919975,0.9921645824563332,80,30,60,100,100
