arrival_rate,Rdynamic_sqrt_6/Dynamic_ratio,Rdynamic_sqrt_8/Dynamic_ratio,Rdynamic_sqrt_10/Dynamic_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_8/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_6_L2,Rdynamic_sqrt_8_L2,Rdynamic_sqrt_10_L2,Dynamic_L2,Rdynamic_sqrt_6_checkpoint,Rdynamic_sqrt_8_checkpoint,Rdynamic_sqrt_10_checkpoint,Dynamic_checkpoint,Rdynamic_sqrt_6/RR_ratio,Rdynamic_sqrt_6/SRPT_ratio,Rdynamic_sqrt_6/SETF_ratio,Rdynamic_sqrt_6/FCFS_ratio,Rdynamic_sqrt_6/RMLF_ratio,Rdynamic_sqrt_8/RR_ratio,Rdynamic_sqrt_8/SRPT_ratio,Rdynamic_sqrt_8/SETF_ratio,Rdynamic_sqrt_8/FCFS_ratio,Rdynamic_sqrt_8/RMLF_ratio,Rdynamic_sqrt_10/RR_ratio,Rdynamic_sqrt_10/SRPT_ratio,Rdynamic_sqrt_10/SETF_ratio,Rdynamic_sqrt_10/FCFS_ratio,Rdynamic_sqrt_10/RMLF_ratio,Dynamic/SRPT_ratio
20,1.718527116480143,1.723169184491095,1.7327389508623574,0.9973060869166348,0.9917980522252694,0.9944770870612104,,,,,60,80,100,100,0.2587190767921696,1.718527116480143,0.7676660142291205,0.5134964889548082,1.040023693909508,0.2594179261374507,1.723169184491095,0.769739625878058,0.514883540460865,1.0428329953594715,0.2608586256160605,1.7327389508623574,0.7740144402448964,0.5177429899188554,1.0486244569406402,1.0
22,1.6445006894461636,1.6418616560510082,1.647464120686921,1.0016073421201044,0.9982012165220802,0.9965993404253464,,,,,60,80,100,100,0.2385663870483229,1.5846639927235884,0.7078693606407096,0.4734981418875228,0.9590119838745176,0.2381835446047639,1.5821209830284657,0.7067333982819665,0.4727382897226654,0.9574729971972598,0.2389962896253852,1.5875195967450877,0.7091449588761862,0.474351397343793,0.9607401473781956,0.963614064070276
24,1.64287359522234,1.648752897523288,1.6554222322461607,0.9964340913002916,0.9924196759114476,0.9959712183435984,,,,,60,80,100,100,0.1892633212690841,1.2571711131193175,0.5615783006025349,0.3756431576851621,0.76081880373273,0.1899406322219525,1.2616701135533996,0.563588003968939,0.3769874605504199,0.7635415230925143,0.1907089569695027,1.2667736680701331,0.5658677616269306,0.3785124043819142,0.7666301084105238,0.765226927242188
26,1.6357108978963075,1.6278572477273583,1.6341731715843275,1.0048245324827554,1.000940981248939,0.9961350951252944,,,,,60,80,100,100,0.1740610642382056,1.1561909640588277,0.5164704708789623,0.3454702546803502,0.6997073166748319,0.1732253329923479,1.1506396656161162,0.5139907060219251,0.343811524810954,0.6963477642668325,0.1738974300173206,1.1551040328233673,0.5159849387268853,0.345145479256214,0.6990495241804984,0.7068431013975686
28,1.7296669962118876,1.7342400523668062,1.7327225004063307,0.9973630777649972,0.998236587685722,1.0008758193883438,,,,,60,80,100,100,0.1339698292724183,0.8898871596539115,0.3975125689982586,0.2658985870320017,0.5385447352390351,0.1343240312972412,0.8922399269562599,0.3985635500855409,0.2666015947049665,0.5399685904213203,0.1342064906506877,0.8914591697314921,0.3982147858553636,0.2663683041797257,0.5394960892863876,0.5144846734098745
30,1.6654022468198213,1.67332927446775,1.6626161797507486,0.9952627209904936,1.0016757127128946,1.0064435164576635,,,,,60,80,100,100,0.1065074813646222,0.7074700370090627,0.3160268454824529,0.2113922885249273,0.4281489620760159,0.1070144386184032,0.7108374724464539,0.3175310787969034,0.2123984793829593,0.4301868773402048,0.1063293039981592,0.7062865037358067,0.3154981612028305,0.2110386483789267,0.4274327076538932,0.4248043007988108
32,1.669739905998032,1.6656283601478896,1.655313950784035,1.002468465324268,1.0087149360441046,1.0062310894914943,,,,,60,80,100,100,0.0754342331850913,0.5010677096053605,0.2238269316806012,0.1497192026495166,0.3032377465826069,0.0752484849093888,0.499833886987438,0.2232757831521414,0.1493505360301653,0.3024910578952912,0.0747825084071057,0.4967386639186753,0.2218931470950428,0.1484256823207884,0.3006178809761852,0.300087281740963
34,1.674806804068198,1.6916734605821917,1.6939032263106215,0.990029602694016,0.9887263794378522,0.9986836522336128,,,,,60,80,100,100,0.0739155025627214,0.4909796256900482,0.2193205848815246,0.1467048797324571,0.297132607945306,0.074659891342225,0.4959241868667569,0.2215293202190329,0.1481823162996859,0.3001249731692512,0.0747582992624781,0.4965778560183641,0.221821314210531,0.14837763286529,0.3005205627407685,0.2931559774521047
36,1.5335694763934116,1.5673089056031764,1.529911748994051,0.9784730188866118,1.0023908094056833,1.024443995958404,,,,,60,80,100,100,0.0133669830237977,0.0887894432708543,0.0396622417928236,0.0265303159540588,0.0537338770422536,0.0136610645013061,0.0907428631725445,0.0405348344075492,0.0271139984874056,0.0549160538973231,0.0133351013380928,0.0885776709420326,0.0395676430995405,0.0264670383099268,0.0536057159922609,0.0578972421123468
38,1.8706224226070651,2.1322921156123695,2.1420381520335834,0.8772824365435711,0.873290898591678,0.995450110721902,,,,,60,80,100,100,0.0281484636667004,0.1869746085146238,0.0835215523246763,0.0558680768404788,0.1131538869243732,0.032085976527244,0.2131293192774839,0.095204860881229,0.0636831133432865,0.1289822777829581,0.0322326314313986,0.2141034663434034,0.0956400123479682,0.0639741888190694,0.1295718151956605,0.0999531526271557
40,1.3303518337408027,1.324162948488783,1.3231643071603394,1.0046738094122654,1.0054320741132208,1.0007547372031118,,,,,60,80,100,100,0.027019600469620056,0.17947619734590456,0.08017201226811227,0.053627549023982556,0.10861597465789902,0.026893903490354282,0.17864126213352594,0.07979904673240455,0.053378070097552056,0.10811068591649603,0.026873620968826784,0.17850653660934823,0.07973886484457245,0.05333781406494458,0.10802915229623744,0.13490882095545903
