arrival_rate,Rdynamic_sqrt_6/Dynamic_ratio,Rdynamic_sqrt_8/Dynamic_ratio,Rdynamic_sqrt_10/Dynamic_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_8/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_6_L2,Rdynamic_sqrt_8_L2,Rdynamic_sqrt_10_L2,Dynamic_L2
20,1.7861205822106092,1.7616743335367837,1.7340183000296958,1.0138767127433517,1.0300471351311695,1.0159491012906925,259804.57294926263,256248.6835764108,252225.90703694185,145457.465490775
22,1.740639522136899,1.698388560848094,1.700431254466787,1.024877087765892,1.023645923682296,0.9987987202579774,230933.083025652,225327.58882243928,225598.59584545717,132671.40041847754
24,1.8613202016473225,1.882699634973428,1.6880346091582674,0.9886442675565678,1.1026552367758995,1.1153205181688957,160016.0172341659,161853.98781469208,145118.81129957133,85969.09714542779
26,1.6673586473705964,1.648479394358688,1.58585139717006,1.0114525259317864,1.0513965245078989,1.039491718644248,127628.569191502,126183.44995868788,121389.56731974932,76545.36076732542
28,1.6541279993172444,1.559054532883463,1.5719861869846723,1.0609814887346778,1.052253520427004,0.991773684649218,85712.96100936849,80786.48112097547,81456.56854118787,51817.61087699819
30,1.8804325047683883,1.7723593648834095,1.7447439622469667,1.0609769903476025,1.0777698879935802,1.0158277679900258,145570.94567797348,137204.6208375177,135066.8146323648,77413.54465466621
32,1.7265503514666678,1.5569283082777796,1.4938639707300854,1.1089465984317015,1.1557614249327288,1.0422155823979564,132868.74349574337,119815.2766631409,114962.085279388,76956.1938247988
34,1.5017249705549156,1.5132092325490902,1.4736139176193983,0.9924106582572004,1.0190762672633618,1.0268695310598432,83163.38541268361,83799.3674500928,81606.63542485534,55378.572670302725
36,0.9649145628876094,0.9541638535438676,0.9428622792426198,1.011267152181266,1.0233886582701173,1.0119864528999143,54129.19827099826,53526.111427869066,52892.122492832226,56097.40007344369
38,1.6752926565483508,1.6001898430666412,1.4153909692331104,1.0469336896538357,1.1836253678063673,1.130563835611908,15559.392721998627,14861.87031305037,13145.538398551826,9287.566958035888
40,1.1803644106208213,1.182635816421778,1.185342420119832,0.9980793700229466,0.9958003616385319,0.9977166060607362,16223.70846554161,16254.928167855644,16292.129517653955,13744.660817932176
