arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
28,13.000000,262144,285008145.142173
28,15.300000,32768,303058869.911590
28,19.700000,4096,294652233.677577
28,32.300000,512,288889814.599785
28,90.000000,18,289615704.567406
28,90.000000,27,289413831.106973
28,90.000000,36,289477713.967255
