frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,215631.804111,193746.000000,41.048752
4,259176.507473,252650.000000,17.000000
8,269063.525577,220289.000000,285.292832
16,264876.523958,146567.000000,6255.155713
32,190089.693508,132202.000000,304.185798
64,232520.969788,199317.000000,6502.932185
128,295720.765482,216067.000000,698.515569
256,279159.496027,186203.000000,32114.732694
512,412104.962501,205873.000000,1558.760405
1024,292015.521980,233093.000000,7606.583004
2048,127239.165668,56484.000000,4608.893251
4096,201931.423946,98277.000000,37476.376359
8192,352437.274998,170698.000000,155954.136806
16384,248931.375969,136604.000000,87677.220388
32768,597746.401705,102749.000000,352171.028135
65536,513514.180631,279523.000000,468971.620906
