frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,299652.753552,232300.000000,54.451814
4,193714.058653,139203.000000,1609.977329
8,347137.578607,231601.000000,33.286634
16,137102.838552,123765.000000,1092.329621
32,142979.449009,107666.000000,291.159750
64,418051.101215,291715.000000,141.046092
128,91873.903106,47655.000000,1248.513116
256,91288.174448,62385.000000,928.904193
512,247370.285821,139376.000000,12237.813857
1024,473496.884085,187011.000000,67106.428239
2048,452083.649417,240631.000000,209764.464872
4096,132641.683648,63304.000000,47007.503582
8192,135186.735462,58952.000000,101888.935106
16384,312850.533712,135004.000000,90549.368717
32768,220278.525563,35812.000000,20615.754485
65536,434905.521812,246443.000000,155391.667038
