arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage,total_rounds
20.00,4.07,262144.00,1.00,99.00,100
26.00,4.07,262144.00,0.00,100.00,100
38.00,30.00,18.00,78.00,22.00,100
40.00,30.00,18.00,75.00,25.00,100
38.00,5.65,4096.00,0.00,100.00,100
24.00,4.64,32768.00,0.00,100.00,100
38.00,16.77,64.00,98.00,2.00,100
30.00,30.00,12.00,99.00,1.00,100
22.00,4.07,262144.00,1.00,99.00,100
36.00,7.92,512.00,2.00,98.00,100
30.00,4.64,32768.00,0.00,100.00,100
24.00,7.92,512.00,2.00,98.00,100
24.00,16.77,64.00,97.00,3.00,100
28.00,7.92,512.00,1.00,99.00,100
34.00,4.64,32768.00,1.00,99.00,100
34.00,30.00,12.00,98.00,2.00,100
24.00,30.00,6.00,99.00,1.00,100
32.00,30.00,12.00,99.00,1.00,100
26.00,30.00,6.00,99.00,1.00,100
40.00,30.00,9.00,99.00,1.00,100
40.00,30.00,12.00,94.00,6.00,100
36.00,5.65,4096.00,0.00,100.00,100
32.00,30.00,9.00,99.00,1.00,100
34.00,7.92,512.00,2.00,98.00,100
36.00,30.00,15.00,90.00,10.00,100
22.00,7.92,512.00,2.00,98.00,100
38.00,4.07,262144.00,0.00,100.00,100
34.00,16.77,64.00,99.00,1.00,100
40.00,4.64,32768.00,0.00,100.00,100
38.00,30.00,9.00,99.00,1.00,100
30.00,5.65,4096.00,1.00,99.00,100
26.00,30.00,12.00,99.00,1.00,100
30.00,4.07,262144.00,0.00,100.00,100
24.00,5.65,4096.00,0.00,100.00,100
32.00,5.65,4096.00,0.00,100.00,100
32.00,30.00,6.00,99.00,1.00,100
24.00,30.00,12.00,99.00,1.00,100
40.00,4.07,262144.00,0.00,100.00,100
40.00,30.00,6.00,99.00,1.00,100
32.00,4.64,32768.00,0.00,100.00,100
20.00,4.64,32768.00,0.00,100.00,100
36.00,30.00,9.00,99.00,1.00,100
22.00,30.00,15.00,99.00,1.00,100
20.00,30.00,6.00,99.00,1.00,100
32.00,30.00,15.00,94.00,6.00,100
22.00,30.00,9.00,99.00,1.00,100
24.00,30.00,18.00,97.00,3.00,100
26.00,16.77,64.00,98.00,2.00,100
40.00,30.00,15.00,80.00,20.00,100
40.00,7.92,512.00,1.00,99.00,100
32.00,7.92,512.00,1.00,99.00,100
26.00,4.64,32768.00,0.00,100.00,100
40.00,5.65,4096.00,1.00,99.00,100
22.00,30.00,6.00,99.00,1.00,100
20.00,30.00,15.00,91.00,9.00,100
28.00,4.64,32768.00,0.00,100.00,100
34.00,30.00,18.00,85.00,15.00,100
24.00,30.00,9.00,99.00,1.00,100
20.00,30.00,12.00,99.00,1.00,100
22.00,30.00,18.00,88.00,12.00,100
24.00,30.00,15.00,98.00,2.00,100
20.00,7.92,512.00,1.00,99.00,100
26.00,30.00,18.00,95.00,5.00,100
22.00,30.00,12.00,99.00,1.00,100
20.00,16.77,64.00,97.00,3.00,100
22.00,16.77,64.00,99.00,1.00,100
20.00,30.00,18.00,81.00,19.00,100
28.00,30.00,15.00,98.00,2.00,100
20.00,30.00,9.00,99.00,1.00,100
20.00,16.77,64.00,90.00,10.00,10
20.00,30.00,15.00,70.00,30.00,10
20.00,30.00,12.00,90.00,10.00,10
22.00,16.77,64.00,90.00,10.00,10
20.00,30.00,9.00,90.00,10.00,10
22.00,4.64,32768.00,0.00,100.00,10
22.00,5.65,4096.00,0.00,100.00,10
24.00,30.00,12.00,90.00,10.00,10
20.00,4.64,32768.00,0.00,100.00,10
20.00,7.92,512.00,0.00,100.00,10
22.00,30.00,15.00,90.00,10.00,10
22.00,30.00,6.00,90.00,10.00,10
22.00,30.00,12.00,90.00,10.00,10
22.00,30.00,9.00,90.00,10.00,10
20.00,4.07,262144.00,0.00,100.00,10
22.00,7.92,512.00,0.00,100.00,10
22.00,4.07,262144.00,0.00,100.00,10
20.00,30.00,6.00,90.00,10.00,10
24.00,30.00,15.00,90.00,10.00,10
20.00,30.00,18.00,40.00,60.00,10
22.00,30.00,18.00,90.00,10.00,10
20.00,5.65,4096.00,0.00,100.00,10
24.00,30.00,18.00,90.00,10.00,10
24.00,30.00,6.00,90.00,10.00,10
26.00,30.00,12.00,90.00,10.00,10
24.00,16.77,64.00,90.00,10.00,10
24.00,4.07,262144.00,0.00,100.00,10
30.00,4.07,262144.00,10.00,90.00,10
30.00,4.64,32768.00,0.00,100.00,10
24.00,7.92,512.00,0.00,100.00,10
34.00,30.00,6.00,90.00,10.00,10
24.00,5.65,4096.00,10.00,90.00,10
26.00,16.77,64.00,90.00,10.00,10
28.00,7.92,512.00,0.00,100.00,10
26.00,4.07,262144.00,0.00,100.00,10
26.00,30.00,6.00,90.00,10.00,10
30.00,30.00,15.00,90.00,10.00,10
30.00,30.00,18.00,90.00,10.00,10
34.00,30.00,15.00,90.00,10.00,10
32.00,30.00,15.00,90.00,10.00,10
32.00,30.00,6.00,90.00,10.00,10
32.00,30.00,12.00,90.00,10.00,10
34.00,30.00,12.00,90.00,10.00,10
26.00,30.00,15.00,80.00,20.00,10
28.00,5.65,4096.00,0.00,100.00,10
28.00,4.64,32768.00,0.00,100.00,10
28.00,30.00,9.00,90.00,10.00,10
26.00,30.00,9.00,90.00,10.00,10
32.00,4.07,262144.00,0.00,100.00,10
34.00,16.77,64.00,90.00,10.00,10
28.00,30.00,15.00,90.00,10.00,10
32.00,4.64,32768.00,0.00,100.00,10
26.00,7.92,512.00,0.00,100.00,10
32.00,5.65,4096.00,0.00,100.00,10
26.00,4.64,32768.00,0.00,100.00,10
28.00,30.00,12.00,90.00,10.00,10
32.00,30.00,9.00,90.00,10.00,10
34.00,30.00,18.00,70.00,30.00,10
30.00,7.92,512.00,0.00,100.00,10
30.00,30.00,12.00,90.00,10.00,10
30.00,30.00,6.00,90.00,10.00,10
28.00,16.77,64.00,90.00,10.00,10
28.00,30.00,6.00,90.00,10.00,10
30.00,16.77,64.00,90.00,10.00,10
32.00,30.00,18.00,90.00,10.00,10
30.00,30.00,9.00,90.00,10.00,10
28.00,30.00,18.00,80.00,20.00,10
26.00,30.00,18.00,80.00,20.00,10
30.00,5.65,4096.00,0.00,100.00,10
28.00,4.07,262144.00,0.00,100.00,10
26.00,5.65,4096.00,0.00,100.00,10
32.00,7.92,512.00,0.00,100.00,10
