frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_maximum_flow_time
1024,140773864.140648,3454762.000000
128,68305128.939759,2297611.000000
16384,61200084.070320,2516341.000000
16,560544.870534,462990.000000
2048,69941797.277728,2362524.000000
256,134220088.139204,3308055.000000
2,65857839.180458,2243866.000000
32768,28521921.103637,2232602.000000
32,127357897.803394,3649011.000000
4096,2658407.103811,935794.000000
4,1572229.183196,1019065.000000
512,129495605.280390,3521451.000000
64,1347072.487229,787044.000000
65536,188654222.777456,3334460.000000
8192,76821265.629837,2286446.000000
8,130009990.771142,3528240.000000
