frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_maximum_flow_time
1024,81640641.165001,2257740.000000
128,87330039.505903,2201424.000000
16384,5337257.424973,825296.000000
16,1714036.701216,1212566.000000
2048,156905687.933467,3430863.000000
256,164522981.509475,3646644.000000
2,1324923.850377,971440.000000
32768,8498198.839145,435564.000000
32,160239088.855318,3452082.000000
4096,94488860.988037,2107979.000000
4,83522747.816908,2189772.000000
512,95793778.854510,2320368.000000
64,86224935.764128,2131328.000000
65536,138318778.480866,2266513.000000
8192,138901818.869108,3660535.000000
8,84041537.575223,2222916.000000
