frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_maximum_flow_time
1024,2060370.140974,841049.000000
128,164899164.169666,3417800.000000
16384,2548747.631318,974011.000000
16,84908366.374782,2150540.000000
2048,1879795.744433,1050371.000000
256,92782986.477793,2290835.000000
2,1529560.753432,653280.000000
32768,97097980.934160,2159186.000000
32,86325938.754611,2421501.000000
4096,2739686.443427,765156.000000
4,781403.059360,466459.000000
512,86468653.267259,2291234.000000
64,2015336.607637,1043066.000000
65536,175894417.986805,3053550.000000
8192,164181400.424971,3278513.000000
8,161615849.089154,3404686.000000
