frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_max_flow_time,Dynamic_BAL_njobs100_mode2_max_flow_time,Dynamic_BAL_njobs100_mode3_max_flow_time,Dynamic_BAL_njobs100_mode4_max_flow_time,Dynamic_BAL_njobs100_mode5_max_flow_time,Dynamic_BAL_njobs100_mode6_max_flow_time,Dynamic_BAL_njobs100_mode7_max_flow_time
1024,380633.746338,380633.746338,380633.746338,380633.746338,380633.746338,380633.746338,380633.746338,81377.000000,81377.000000,81377.000000,81377.000000,81377.000000,81377.000000,81377.000000
128,428630.517729,428630.517729,428630.517729,428630.517729,428630.517729,428630.517729,428630.517729,84997.000000,84997.000000,84997.000000,84997.000000,84997.000000,84997.000000,84997.000000
16384,391928.209878,391842.025933,391842.025933,391928.209878,391928.209878,391928.209878,391842.025933,42092.000000,42092.000000,42092.000000,42092.000000,42092.000000,42092.000000,42092.000000
16,398376.685361,398376.685361,398376.685361,398376.685361,398376.685361,398376.685361,398376.685361,70017.000000,70017.000000,70017.000000,70017.000000,70017.000000,70017.000000,70017.000000
2048,97938.298357,97938.298357,97938.298357,97938.298357,97938.298357,97938.298357,97938.298357,36115.000000,36115.000000,36115.000000,36115.000000,36115.000000,36115.000000,36115.000000
256,7400.370937,7400.370937,7400.370937,7400.370937,7400.370937,7400.370937,7400.370937,3670.000000,3670.000000,3670.000000,3670.000000,3670.000000,3670.000000,3670.000000
2,378350.248204,378350.248204,378350.248204,378350.248204,378350.248204,378350.248204,378350.248204,72148.000000,72148.000000,72148.000000,72148.000000,72148.000000,72148.000000,72148.000000
32768,36161.531038,36161.531038,36161.531038,36161.531038,36161.531038,36161.531038,36161.531038,27415.000000,27415.000000,27415.000000,27415.000000,27415.000000,27415.000000,27415.000000
32,27455.090238,27455.090238,27455.090238,27455.090238,27455.090238,27455.090238,27455.090238,18772.000000,18772.000000,18772.000000,18772.000000,18772.000000,18772.000000,18772.000000
4096,143189.795188,132534.349197,143189.795188,143189.795188,143189.795188,132534.349197,132534.349197,40686.000000,40686.000000,40686.000000,40686.000000,40686.000000,40686.000000,40686.000000
4,417887.295723,417887.295723,417887.295723,417887.295723,417887.295723,417887.295723,417887.295723,90542.000000,90542.000000,90542.000000,90542.000000,90542.000000,90542.000000,90542.000000
512,516920.899364,445976.320205,451918.115089,516920.899364,516920.899364,374454.787973,374454.787973,46854.000000,63008.000000,63008.000000,46854.000000,46854.000000,63013.000000,63013.000000
64,34131.015397,29383.208368,29383.208368,33916.870242,34131.015397,29383.208368,29383.208368,15788.000000,16138.000000,16138.000000,15788.000000,15788.000000,16138.000000,16138.000000
65536,36759.608009,36759.608009,36759.608009,36759.608009,36759.608009,36759.608009,36759.608009,32538.000000,32538.000000,32538.000000,32538.000000,32538.000000,32538.000000,32538.000000
8192,231333.838774,231333.838774,231333.838774,231333.838774,231333.838774,231333.838774,231333.838774,59036.000000,59036.000000,59036.000000,59036.000000,59036.000000,59036.000000,59036.000000
8,210499.347058,210499.347058,210499.347058,210499.347058,210499.347058,210499.347058,210499.347058,50539.000000,50539.000000,50539.000000,50539.000000,50539.000000,50539.000000,50539.000000
