frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_max_flow_time,Dynamic_BAL_njobs100_mode2_max_flow_time,Dynamic_BAL_njobs100_mode3_max_flow_time,Dynamic_BAL_njobs100_mode4_max_flow_time,Dynamic_BAL_njobs100_mode5_max_flow_time,Dynamic_BAL_njobs100_mode6_max_flow_time,Dynamic_BAL_njobs100_mode7_max_flow_time
1024,161186.043248,161186.043248,161186.043248,161186.043248,161186.043248,161186.043248,161186.043248,44051.000000,44051.000000,44051.000000,44051.000000,44051.000000,44051.000000,44051.000000
128,229040.649693,229040.649693,229040.649693,229040.649693,229040.649693,229040.649693,229040.649693,122056.000000,122056.000000,122056.000000,122056.000000,122056.000000,122056.000000,122056.000000
16384,9475.718759,9475.718759,9475.718759,9475.718759,9475.718759,10144.757710,9475.718759,3695.000000,3695.000000,3695.000000,3695.000000,3695.000000,3390.000000,3695.000000
16,430542.598256,430542.598256,430542.598256,430542.598256,430542.598256,430542.598256,430542.598256,84264.000000,84264.000000,84264.000000,84264.000000,84264.000000,84264.000000,84264.000000
2048,456228.438617,449467.009413,449408.422295,456228.438617,456228.438617,438892.690684,449467.009413,42954.000000,44354.000000,44354.000000,42954.000000,42954.000000,50748.000000,44354.000000
256,279849.434673,279849.434673,279849.434673,279849.434673,279849.434673,255484.483989,279849.434673,42237.000000,42237.000000,42237.000000,42237.000000,42237.000000,51893.000000,42237.000000
2,416018.581449,416018.581449,416018.581449,416018.581449,416018.581449,416018.581449,416018.581449,100677.000000,100677.000000,100677.000000,100677.000000,100677.000000,100677.000000,100677.000000
32768,360467.642705,360467.642705,360467.642705,360467.642705,360467.642705,360467.642705,360467.642705,64836.000000,64836.000000,64836.000000,64836.000000,64836.000000,64836.000000,64836.000000
32,430743.954872,430743.954872,430743.954872,430743.954872,430743.954872,430743.954872,430743.954872,98386.000000,98386.000000,98386.000000,98386.000000,98386.000000,98386.000000,98386.000000
4096,293100.647446,293100.647446,293100.647446,293100.647446,293100.647446,293100.647446,293100.647446,74565.000000,74565.000000,74565.000000,74565.000000,74565.000000,74565.000000,74565.000000
4,422393.019597,422393.019597,422393.019597,422393.019597,422393.019597,422393.019597,422393.019597,80750.000000,80750.000000,80750.000000,80750.000000,80750.000000,80750.000000,80750.000000
512,473859.436566,473859.436566,473859.436566,473859.436566,473859.436566,473859.436566,473859.436566,96184.000000,96184.000000,96184.000000,96184.000000,96184.000000,96184.000000,96184.000000
64,205837.311960,205837.311960,205837.311960,205837.311960,205837.311960,205837.311960,205837.311960,44268.000000,44268.000000,44268.000000,44268.000000,44268.000000,44268.000000,44268.000000
65536,485436.862160,485436.862160,485436.862160,485436.862160,485436.862160,485436.862160,485436.862160,83477.000000,83477.000000,83477.000000,83477.000000,83477.000000,83477.000000,83477.000000
8192,295787.231428,295787.231428,295787.231428,295787.231428,295787.231428,295787.231428,295787.231428,71561.000000,71561.000000,71561.000000,71561.000000,71561.000000,71561.000000,71561.000000
8,244916.621269,244916.621269,244916.621269,244916.621269,244916.621269,244916.621269,244916.621269,48618.000000,48618.000000,48618.000000,48618.000000,48618.000000,48618.000000,48618.000000
