frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,514463.362887,112666.000000
128,405112.067332,71394.000000
16384,8285.429741,5105.000000
16,211705.777446,37833.000000
2048,13112.104903,6757.000000
256,228061.129367,57566.000000
2,230455.219926,67353.000000
32768,37965.433449,30236.000000
32,360501.978947,101024.000000
4096,226651.436858,58430.000000
4,14684.161876,14046.000000
512,28934.888059,23905.000000
64,192513.701305,65744.000000
65536,184767.066868,46348.000000
8192,155442.363817,44284.000000
8,201203.743337,43017.000000
