frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_max_flow_time,Dynamic_BAL_njobs100_mode2_max_flow_time,Dynamic_BAL_njobs100_mode3_max_flow_time,Dynamic_BAL_njobs100_mode4_max_flow_time,Dynamic_BAL_njobs100_mode5_max_flow_time,Dynamic_BAL_njobs100_mode6_max_flow_time,Dynamic_BAL_njobs100_mode7_max_flow_time
1024,18066.262342,19910.223354,18066.262342,18066.262342,18066.262342,18584.425388,19910.223354,11765.000000,11765.000000,11765.000000,11765.000000,11765.000000,11765.000000,11765.000000
128,216379.971208,216379.971208,216379.971208,216379.971208,216379.971208,216379.971208,216379.971208,58704.000000,58704.000000,58704.000000,58704.000000,58704.000000,58704.000000,58704.000000
16384,444305.474556,444305.474556,444305.474556,444305.474556,444305.474556,444305.474556,444305.474556,55347.000000,55347.000000,55347.000000,55347.000000,55347.000000,55347.000000,55347.000000
16,8404.627475,8404.627475,8404.627475,8404.627475,8404.627475,8404.627475,8404.627475,4317.000000,4317.000000,4317.000000,4317.000000,4317.000000,4317.000000,4317.000000
2048,240222.868347,240222.868347,240222.868347,240222.868347,240222.868347,240222.868347,240222.868347,47675.000000,47675.000000,47675.000000,47675.000000,47675.000000,47675.000000,47675.000000
256,410014.093463,410014.093463,410014.093463,410014.093463,410014.093463,410014.093463,410014.093463,66284.000000,66284.000000,66284.000000,66284.000000,66284.000000,66284.000000,66284.000000
2,232355.905903,232355.905903,232355.905903,232355.905903,232355.905903,232355.905903,232355.905903,42131.000000,42131.000000,42131.000000,42131.000000,42131.000000,42131.000000,42131.000000
32768,174039.599893,174039.599893,174039.599893,174039.599893,174039.599893,174039.599893,174039.599893,53220.000000,53220.000000,53220.000000,53220.000000,53220.000000,53220.000000,53220.000000
32,35305.655354,35305.655354,35305.655354,35305.655354,35305.655354,35305.655354,35305.655354,33233.000000,33233.000000,33233.000000,33233.000000,33233.000000,33233.000000,33233.000000
4096,13673.761150,13673.761150,13673.761150,13673.761150,13673.761150,13673.761150,13673.761150,11442.000000,11442.000000,11442.000000,11442.000000,11442.000000,11442.000000,11442.000000
4,11751.319500,11751.319500,11751.319500,11751.319500,11751.319500,11751.319500,11751.319500,6110.000000,6110.000000,6110.000000,6110.000000,6110.000000,6110.000000,6110.000000
512,204754.317315,204754.317315,204754.317315,204754.317315,204754.317315,204754.317315,204754.317315,86961.000000,86961.000000,86961.000000,86961.000000,86961.000000,86961.000000,86961.000000
64,229558.151744,229558.151744,229558.151744,229558.151744,229558.151744,229558.151744,229558.151744,43688.000000,43688.000000,43688.000000,43688.000000,43688.000000,43688.000000,43688.000000
65536,266835.282026,266835.282026,266835.282026,266835.282026,266835.282026,266835.282026,266835.282026,47835.000000,47835.000000,47835.000000,47835.000000,47835.000000,47835.000000,47835.000000
8192,517759.279261,517759.279261,517759.279261,517759.279261,517759.279261,517759.279261,517759.279261,34974.000000,34974.000000,34974.000000,34974.000000,34974.000000,34974.000000,34974.000000
8,16335.262747,16335.262747,16335.262747,16335.262747,16335.262747,16335.262747,16335.262747,12036.000000,12036.000000,12036.000000,12036.000000,12036.000000,12036.000000,12036.000000
