frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_maximum_flow_time
1024,2059137.302159,960512.000000
128,132862432.129661,3461373.000000
16384,153298400.121494,3427149.000000
16,638957.724930,431696.000000
2048,2273171.139167,951592.000000
256,1207065.848522,931054.000000
2,424211.176732,240212.000000
32768,3536823.634183,540728.000000
32,1353580.473334,986579.000000
4096,132755450.759506,3276324.000000
4,129298559.127186,3265566.000000
512,63607905.049541,2163330.000000
64,66352085.721215,2228960.000000
65536,173520409.160055,3209772.000000
8192,119682550.522053,3391093.000000
8,1757758.416443,890604.000000
