frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_maximum_flow_time
1024,2937835.664509,991954.000000
128,1027139.486396,615732.000000
16384,128903710.089448,3343149.000000
16,87574094.206281,2251362.000000
2048,2144907.536358,768087.000000
256,158398284.251187,3564867.000000
2,161994599.454268,3591988.000000
32768,199827760.445651,2858194.000000
32,86548420.934494,2182312.000000
4096,167291366.034624,3433820.000000
4,83228206.475285,2213890.000000
512,90900412.066661,2272435.000000
64,2695142.246507,1008947.000000
65536,181379451.854540,2971895.000000
8192,74313592.482051,2405595.000000
8,1400035.979902,1045719.000000
