frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_maximum_flow_time
1024,89260218.031759,2273569.000000
128,86194195.391346,2238092.000000
16384,2914974.644244,1096411.000000
16,164911672.893871,3358646.000000
2048,165041796.006533,3538715.000000
256,1125996.563560,549151.000000
2,1935461.282613,1062634.000000
32768,220616115.085007,3430003.000000
32,703118.716430,324872.000000
4096,1461584.862812,805735.000000
4,167090843.772734,3424569.000000
512,164073775.051418,3533215.000000
64,2637745.705159,1077853.000000
65536,150638667.057602,2260686.000000
8192,169152803.901076,3228644.000000
8,85680717.820474,2150339.000000
