frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1026729.458918,215154.000000,903.342681
4,2009572.449536,283232.000000,250.263861
8,1666294.149592,280561.000000,168.044637
16,3011385.269347,299853.000000,126.767504
32,2379601.556738,289637.000000,185.318645
64,2467081.126754,283067.000000,11295.995175
128,2624511.745881,290374.000000,33834.256058
256,1718483.957954,295069.000000,47567.691535
512,3327934.069707,300500.000000,127365.774861
1024,2613445.464113,296645.000000,444594.415056
2048,3142933.376579,304392.000000,215415.342613
4096,2840790.434241,287589.000000,622316.061947
8192,3136197.017562,289440.000000,1090742.860051
16384,1311060.918943,194688.000000,518415.499647
32768,4514386.428691,274325.000000,2460422.744072
65536,5388193.528904,301888.000000,3913816.666788
