frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1539327.225309,236772.000000,131.931801
4,1046873.850079,287109.000000,231.138487
8,1449139.499169,300279.000000,40.000000
16,1795429.501538,297464.000000,3026.774686
32,2703948.246643,302286.000000,1358.870487
64,2490168.153977,295707.000000,458.835482
128,2782610.113935,297365.000000,188260.282667
256,3411428.315085,298529.000000,207977.371514
512,2913567.392359,277945.000000,270340.707935
1024,3416073.021249,292049.000000,1039342.826960
2048,3206695.388486,300618.000000,865204.962579
4096,3310431.442344,295057.000000,814536.248628
8192,2390652.928653,216945.000000,386344.878976
16384,3797035.439586,297760.000000,1950244.624093
32768,2360392.470157,292157.000000,551225.145584
65536,4630649.661630,301055.000000,2373962.215264
