frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,2031792.947635,275400.000000,88.034084
4,1625730.684678,243836.000000,149.889960
8,1736945.435828,270041.000000,76.694198
16,1818228.904215,293024.000000,236.590363
32,1649979.423277,291227.000000,2471.643785
64,3099627.676162,298542.000000,324.987692
128,3749934.854537,301136.000000,269860.212890
256,1613852.969477,292606.000000,77223.296084
512,1638616.320813,286693.000000,28759.943654
1024,2899835.016354,297857.000000,89544.946016
2048,3282182.830872,271523.000000,475306.186889
4096,2770449.724044,304898.000000,472721.229919
8192,2523830.117330,287618.000000,556130.858912
16384,2920555.133351,214801.000000,1704924.356133
32768,2705638.484025,280184.000000,1363038.703386
65536,5256770.882787,283010.000000,3684951.557016
