frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1666335.080741,238777.000000,98.270036
4,2547622.300481,288564.000000,59.203040
8,2017054.516959,280915.000000,1814.512056
16,2221099.080814,295983.000000,13584.754838
32,1968568.957334,299314.000000,859.307279
64,2283783.447221,292413.000000,1493.619764
128,2355370.673549,301475.000000,6074.537925
256,2876835.624915,299402.000000,244105.650891
512,2427697.706124,284859.000000,565457.601126
1024,2830413.612579,301433.000000,494946.369706
2048,2000675.841525,288787.000000,96318.552268
4096,2227183.125775,223078.000000,302854.941332
8192,1724463.422130,170168.000000,154536.287522
16384,892281.366047,134544.000000,668511.313384
32768,4682670.190076,301784.000000,2835173.275212
65536,3739823.378529,242077.000000,2411055.602040
