frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,2240512.666286,300601.000000,80161.203216
4,1490795.356885,233387.000000,190.499344
8,475464.173744,98658.000000,891.299613
16,1248559.352968,230582.000000,91.000000
32,2795147.914790,298107.000000,137800.226916
64,2132068.738750,293654.000000,119611.318570
128,2552847.206357,304539.000000,52358.135041
256,3092921.306023,295976.000000,22868.001946
512,2310727.432580,299761.000000,315859.985338
1024,2701710.433950,293348.000000,238380.890977
2048,3193912.709938,289642.000000,802080.207303
4096,4011560.759101,298920.000000,1521540.782118
8192,618303.848769,131803.000000,312538.600168
16384,1344213.608547,198010.000000,439756.911840
32768,2898141.385606,300992.000000,718683.394773
65536,1548781.405812,134280.000000,1403750.068689
